Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Application,,,,2019-05-24 14:48:22,2019-05-24 14:48:29,6.956s,FAILED
,,,,,,,
Test Cases/Application/GetApplication,,,,2019-05-24 14:48:23,2019-05-24 14:48:28,5.647s,FAILED
"getApplication = sendRequest(findTestObject(""Application/GetApplication""))",,,,2019-05-24 14:48:23,2019-05-24 14:48:27,3.527s,PASSED
"verifyResponseStatusCode(getApplication, 200)",,,,2019-05-24 14:48:27,2019-05-24 14:48:27,0.021s,PASSED
"verifyElementPropertyValue(getApplication, ""data[0].applicationId"", 1)",,,,2019-05-24 14:48:27,2019-05-24 14:48:27,0.080s,PASSED
"verifyElementPropertyValue(getApplication, ""data[0].systemInstanceId"", 11)",,,,2019-05-24 14:48:27,2019-05-24 14:48:27,0.035s,PASSED
"verifyElementPropertyValue(getApplication, ""data[0].applicationName"", ""Test Application v1.0"")",,,,2019-05-24 14:48:27,2019-05-24 14:48:27,0.040s,PASSED
"verifyElementPropertyValue(getApplication, ""data[0].createTime"", ""2019-05-13 15:48:51.063"")",,,,2019-05-24 14:48:27,2019-05-24 14:48:27,0.043s,FAILED
"verifyElementPropertyValue(getApplication, ""data[0].startDate"", ""2019-05-13"")",,,,2019-05-24 14:48:27,2019-05-24 14:48:27,0.054s,FAILED
"verifyElementPropertyValue(getApplication, ""data[0].endDate"", ""2019-05-13"")",,,,2019-05-24 14:48:27,2019-05-24 14:48:27,0.068s,FAILED
"verifyElementPropertyValue(getApplication, ""data[0].description"", ""Test Application Description"")",,,,2019-05-24 14:48:27,2019-05-24 14:48:27,0.067s,PASSED
"verifyElementPropertyValue(getApplication, ""data[0].note"", ""Test Application Description"")",,,,2019-05-24 14:48:27,2019-05-24 14:48:27,0.038s,PASSED
"verifyElementPropertyValue(getApplication, ""data[0].category"", 1)",,,,2019-05-24 14:48:27,2019-05-24 14:48:27,0.041s,PASSED
"verifyElementPropertyValue(getApplication, ""data[0].stage"", 1)",,,,2019-05-24 14:48:27,2019-05-24 14:48:27,0.047s,PASSED
"verifyElementPropertyValue(getApplication, ""data[0].efford"", ""1234"")",,,,2019-05-24 14:48:27,2019-05-24 14:48:27,0.044s,PASSED
"verifyElementPropertyValue(getApplication, ""data[0].origin"", ""I"")",,,,2019-05-24 14:48:27,2019-05-24 14:48:27,0.038s,PASSED
"verifyElementPropertyValue(getApplication, ""data[0].type"", ""N"")",,,,2019-05-24 14:48:27,2019-05-24 14:48:27,0.032s,PASSED
"verifyElementPropertyValue(getApplication, ""data[0].technologies"", ""C#"")",,,,2019-05-24 14:48:27,2019-05-24 14:48:27,0.041s,PASSED
"verifyElementPropertyValue(getApplication, ""data[0].team"", 1)",,,,2019-05-24 14:48:27,2019-05-24 14:48:27,0.019s,PASSED
"verifyElementPropertyValue(getApplication, ""data[0].priority"", 2)",,,,2019-05-24 14:48:27,2019-05-24 14:48:27,0.024s,PASSED
"verifyElementPropertyValue(getApplication, ""data[0].status"", 3)",,,,2019-05-24 14:48:27,2019-05-24 14:48:27,0.034s,PASSED
"verifyElementPropertyValue(getApplication, ""data[0].isDone"", false)",,,,2019-05-24 14:48:27,2019-05-24 14:48:27,0.032s,PASSED
"verifyElementPropertyValue(getApplication, ""data[0].active"", true)",,,,2019-05-24 14:48:27,2019-05-24 14:48:28,0.025s,PASSED
"verifyElementPropertyValue(getApplication, ""data[0].applicationCharacteristic.applicationCharacteristicId"", 1)",,,,2019-05-24 14:48:28,2019-05-24 14:48:28,0.035s,PASSED
"verifyElementPropertyValue(getApplication, ""data[0].applicationCharacteristic.applicationId"", 1)",,,,2019-05-24 14:48:28,2019-05-24 14:48:28,0.039s,PASSED
"verifyElementPropertyValue(getApplication, ""data[0].applicationCharacteristic.ecf.ecfid"", 3)",,,,2019-05-24 14:48:28,2019-05-24 14:48:28,0.019s,PASSED
"verifyElementPropertyValue(getApplication, ""data[0].applicationCharacteristic.ecf.applicationCharacteristicId"", 1)",,,,2019-05-24 14:48:28,2019-05-24 14:48:28,0.024s,PASSED
"verifyElementPropertyValue(getApplication, ""data[0].applicationCharacteristic.ecf.e1"", 3)",,,,2019-05-24 14:48:28,2019-05-24 14:48:28,0.041s,PASSED
"verifyElementPropertyValue(getApplication, ""data[0].applicationCharacteristic.ecf.e2"", 3)",,,,2019-05-24 14:48:28,2019-05-24 14:48:28,0.020s,PASSED
"verifyElementPropertyValue(getApplication, ""data[0].applicationCharacteristic.ecf.e3"", 2)",,,,2019-05-24 14:48:28,2019-05-24 14:48:28,0.022s,PASSED
"verifyElementPropertyValue(getApplication, ""data[0].applicationCharacteristic.ecf.e4"", 5)",,,,2019-05-24 14:48:28,2019-05-24 14:48:28,0.012s,PASSED
"verifyElementPropertyValue(getApplication, ""data[0].applicationCharacteristic.ecf.e5"", 2)",,,,2019-05-24 14:48:28,2019-05-24 14:48:28,0.030s,PASSED
"verifyElementPropertyValue(getApplication, ""data[0].applicationCharacteristic.ecf.e6"", 1)",,,,2019-05-24 14:48:28,2019-05-24 14:48:28,0.015s,PASSED
"verifyElementPropertyValue(getApplication, ""data[0].applicationCharacteristic.ecf.e7"", 0)",,,,2019-05-24 14:48:28,2019-05-24 14:48:28,0.019s,PASSED
