Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Systems,,,,2019-05-24 14:52:14,2019-05-24 14:52:21,6.593s,FAILED
,,,,,,,
Test Cases/Systems/GetSystems,,,,2019-05-24 14:52:14,2019-05-24 14:52:19,4.878s,FAILED
"getSystems = sendRequest(findTestObject(""Systems/GetSystems""))",,,,2019-05-24 14:52:15,2019-05-24 14:52:17,2.635s,PASSED
"verifyResponseStatusCode(getSystems, 200)",,,,2019-05-24 14:52:17,2019-05-24 14:52:17,0.043s,PASSED
"verifyElementPropertyValue(getSystems, ""data[0].id"", 2)",,,,2019-05-24 14:52:17,2019-05-24 14:52:17,0.083s,PASSED
"verifyElementPropertyValue(getSystems, ""data[0].name"", ""Unicode System"")",,,,2019-05-24 14:52:17,2019-05-24 14:52:18,0.048s,PASSED
"verifyElementPropertyValue(getSystems, ""data[0].description"", ""Uni System"")",,,,2019-05-24 14:52:18,2019-05-24 14:52:18,0.040s,PASSED
"verifyElementPropertyValue(getSystems, ""data[0].companyId"", 4)",,,,2019-05-24 14:52:18,2019-05-24 14:52:18,0.038s,PASSED
"verifyElementPropertyValue(getSystems, ""data[0].active"", true)",,,,2019-05-24 14:52:18,2019-05-24 14:52:18,0.045s,PASSED
"verifyElementPropertyValue(getSystems, ""data[0].systemInstance[0].id"", 12)",,,,2019-05-24 14:52:18,2019-05-24 14:52:18,0.047s,PASSED
"verifyElementPropertyValue(getSystems, ""data[0].systemInstance[0].createTime"", ""2019-05-05 00:00:00.000"")",,,,2019-05-24 14:52:18,2019-05-24 14:52:18,0.048s,FAILED
"verifyElementPropertyValue(getSystems, ""data[0].systemInstance[0].lastUpdate"", ""2019-05-23 14:20:50.323"")",,,,2019-05-24 14:52:18,2019-05-24 14:52:18,0.040s,FAILED
"verifyElementPropertyValue(getSystems, ""data[0].systemInstance[0].name"", ""Promotion"")",,,,2019-05-24 14:52:18,2019-05-24 14:52:18,0.045s,PASSED
"verifyElementPropertyValue(getSystems, ""data[0].systemInstance[0].status"", 1)",,,,2019-05-24 14:52:18,2019-05-24 14:52:18,0.037s,PASSED
"verifyElementPropertyValue(getSystems, ""data[0].systemInstance[0].description"", ""Promotion Dev"")",,,,2019-05-24 14:52:18,2019-05-24 14:52:18,0.029s,PASSED
